name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_asset_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v34_etf_balanced_risk_adjusted_50000_3asset_40d,50000.0,balanced,risk_adjusted,3,40,False,True,0.3667,0.0833,0.1591,-0.4393,0.647,1.3986,119928.56,2.12,0.9502,0.0498,3363.24,0.0673,201,19,0,-0.3114,-1.0849
v34_etf_balanced_defensive_50000_3asset_20d,50000.0,balanced,defensive,3,20,False,True,0.3662,0.0802,0.1507,-0.4327,0.6586,1.3443,117212.86,2.0,0.9437,0.0563,4169.64,0.0834,301,21,0,-0.3544,-1.0214
v34_etf_balanced_defensive_200000_2asset_20d,200000.0,balanced,defensive,2,20,False,True,0.3661,0.0852,0.1643,-0.462,0.6566,1.4272,485439.45,1.72,0.9744,0.0256,15803.35,0.079,229,0,1,-0.3274,-0.9958
v34_etf_ultra_guard_risk_adjusted_200000_3asset_40d,200000.0,ultra_guard,risk_adjusted,3,40,False,True,0.3659,0.0446,0.0535,-0.1822,0.7088,0.7065,341292.62,1.82,0.9557,0.0443,3059.18,0.0153,145,0,0,-0.4903,-1.2639
v34_etf_balanced_momentum_50000_1asset_40d,50000.0,balanced,momentum,1,40,False,True,0.3647,0.1145,0.2453,-0.5337,0.5865,1.8365,141824.76,1.14,0.9399,0.0601,4312.34,0.0862,111,46,0,-0.0252,-1.0697
v34_etf_defensive_risk_adjusted_100000_2asset_20d,100000.0,defensive,risk_adjusted,2,20,False,True,0.3642,0.0668,0.1147,-0.3,0.6666,1.1075,210745.13,1.88,0.9571,0.0429,5538.77,0.0554,254,0,0,-0.4303,-1.608
v34_etf_capital_guard_defensive_200000_3asset_40d,200000.0,capital_guard,defensive,3,40,False,True,0.3641,0.0544,0.0806,-0.2979,0.7178,0.8834,376673.04,1.69,0.9651,0.0349,3881.26,0.0194,131,0,0,-0.5199,-1.0972
v34_etf_capital_guard_risk_adjusted_100000_3asset_40d,100000.0,capital_guard,risk_adjusted,3,40,False,True,0.3633,0.0577,0.09,-0.2961,0.7079,0.9431,194305.68,1.9,0.9537,0.0463,2567.12,0.0257,147,0,0,-0.2595,-1.135
v34_etf_balanced_defensive_100000_2asset_20d,100000.0,balanced,defensive,2,20,False,True,0.3632,0.0846,0.1641,-0.4611,0.6563,1.4117,241167.55,1.69,0.9619,0.0381,7976.35,0.0798,226,4,1,-0.3326,-1.0052
v34_etf_capital_guard_defensive_200000_3asset_60d,200000.0,capital_guard,defensive,3,60,False,True,0.3627,0.0545,0.0814,-0.3129,0.7178,0.8855,377108.54,1.65,0.9584,0.0416,2745.26,0.0137,84,0,0,-1.0453,-2.9437
