name,capital,crisis_cap,crisis_max_assets,allocation_mode,relative_improvement_gate_passes,production_minimum_gate_passes,annual_return,sharpe_ratio,max_drawdown,avg_oos_sharpe,min_oos_sharpe,avg_crisis_target,max_actual_risk_exposure
v39_100000_crisis20_2asset_equal_pair,100000.0,0.2,2,equal_pair,False,False,0.0605,0.4511,-0.1328,0.4827,-0.3683,0.0828,0.9399
v39_50000_crisis20_2asset_equal_pair,50000.0,0.2,2,equal_pair,False,False,0.0598,0.4478,-0.1295,0.4656,-0.4467,0.0828,0.937
v39_200000_crisis15_2asset_equal_pair,200000.0,0.15,2,equal_pair,False,False,0.0596,0.4441,-0.134,0.443,-0.5031,0.0621,0.9407
v39_100000_crisis15_2asset_equal_pair,100000.0,0.15,2,equal_pair,False,False,0.0592,0.4391,-0.133,0.4367,-0.5614,0.0621,0.9414
v39_50000_crisis15_2asset_equal_pair,50000.0,0.15,2,equal_pair,False,False,0.0586,0.4346,-0.1295,0.4315,-0.582,0.0621,0.9412
v39_200000_crisis20_2asset_equal_pair,200000.0,0.2,2,equal_pair,False,False,0.0461,0.2885,-0.1341,-1.7077,-7.0868,0.0828,0.7094
