name,industry,production,sharpe,annual_return,mdd,win_rate,oos,min_oos,decay,avg_stock_exposure,avg_crisis_weight,avg_carry_weight
v32_scan_balanced_crisis_g0.68_v0.145_c1.00_k0.00,False,True,2.0446,0.2106,-0.1092,0.5638,2.2986,0.0015,-0.0446,0.3969,0.6031,0.0
v32_scan_balanced_crisis_g0.68_v0.140_c0.90_k0.10,False,True,2.0445,0.204,-0.1008,0.5643,2.3082,-0.0393,-0.0512,0.3865,0.5521,0.0613
v32_scan_balanced_crisis_g0.66_v0.150_c0.75_k0.25,False,True,2.0437,0.2049,-0.0917,0.5629,2.2942,-0.1322,-0.0606,0.3961,0.4529,0.151
v32_scan_balanced_crisis_g0.68_v0.150_c1.00_k0.00,False,True,2.0435,0.2146,-0.11,0.5641,2.2824,-0.0318,-0.0415,0.4067,0.5933,0.0
v32_scan_balanced_crisis_g0.66_v0.145_c0.82_k0.18,False,True,2.0406,0.202,-0.0959,0.5636,2.3025,-0.0917,-0.0537,0.3866,0.503,0.1104
v32_scan_balanced_crisis_g0.68_v0.135_c0.86_k0.14,False,True,2.0399,0.1983,-0.0978,0.5645,2.3057,-0.0587,-0.0484,0.3758,0.5368,0.0874
v32_scan_balanced_crisis_g0.66_v0.140_c0.75_k0.25,False,True,2.0396,0.1962,-0.0899,0.5629,2.3108,-0.0986,-0.0607,0.3764,0.4677,0.1559
v32_scan_balanced_crisis_g0.66_v0.145_c0.86_k0.14,False,True,2.0385,0.2026,-0.0979,0.5641,2.3046,-0.0508,-0.0534,0.3866,0.5276,0.0859
v32_scan_balanced_crisis_g0.68_v0.140_c0.95_k0.05,False,True,2.038,0.2045,-0.1046,0.5641,2.302,-0.0237,-0.0487,0.3865,0.5828,0.0307
v32_scan_balanced_crisis_g0.66_v0.150_c0.82_k0.18,False,True,2.0369,0.2056,-0.0968,0.5629,2.2861,-0.1094,-0.0569,0.3961,0.4952,0.1087
v32_scan_balanced_crisis_g0.68_v0.135_c0.90_k0.10,False,True,2.0358,0.1988,-0.1,0.5641,2.3028,-0.0456,-0.0473,0.3758,0.5618,0.0624
v32_scan_balanced_crisis_g0.66_v0.150_c0.86_k0.14,False,True,2.0341,0.2062,-0.0988,0.5634,2.2846,-0.0966,-0.0562,0.3961,0.5194,0.0846
v32_scan_balanced_crisis_g0.66_v0.145_c0.90_k0.10,False,True,2.0337,0.203,-0.101,0.5643,2.2998,-0.0381,-0.0513,0.3866,0.5521,0.0613
v32_scan_balanced_crisis_g0.66_v0.140_c0.82_k0.18,False,True,2.0323,0.197,-0.0951,0.5638,2.3032,-0.0751,-0.0572,0.3764,0.5113,0.1122
v32_scan_balanced_crisis_g0.64_v0.150_c0.75_k0.25,False,True,2.0322,0.1995,-0.091,0.5632,2.2782,-0.1459,-0.0568,0.3856,0.4608,0.1536
v32_scan_balanced_crisis_g0.68_v0.140_c1.00_k0.00,False,True,2.0306,0.2051,-0.1084,0.5638,2.2948,-0.0084,-0.046,0.3865,0.6135,0.0
v32_scan_balanced_crisis_g0.66_v0.150_c0.90_k0.10,False,True,2.0303,0.2067,-0.1018,0.5638,2.2823,-0.0729,-0.0545,0.3961,0.5435,0.0604
v32_scan_balanced_crisis_g0.64_v0.145_c0.75_k0.25,False,True,2.0289,0.1952,-0.0901,0.5627,2.3011,-0.0983,-0.0626,0.3764,0.4677,0.1559
v32_scan_balanced_crisis_g0.68_v0.135_c0.95_k0.05,False,True,2.0284,0.1993,-0.1038,0.5641,2.295,-0.0295,-0.0443,0.3758,0.593,0.0312
v32_scan_balanced_crisis_g0.66_v0.140_c0.86_k0.14,False,True,2.0276,0.1975,-0.098,0.5645,2.2986,-0.0619,-0.0551,0.3764,0.5363,0.0873
v32_scan_balanced_crisis_g0.66_v0.145_c0.95_k0.05,False,True,2.0272,0.2036,-0.1048,0.5638,2.2937,-0.0225,-0.0488,0.3866,0.5828,0.0307
v32_scan_balanced_crisis_g0.64_v0.150_c0.82_k0.18,False,True,2.0266,0.2004,-0.0961,0.5632,2.2764,-0.0892,-0.0543,0.3856,0.5038,0.1106
v32_scan_balanced_crisis_g0.66_v0.135_c0.75_k0.25,False,True,2.0255,0.1905,-0.089,0.5629,2.3058,-0.1064,-0.0631,0.3656,0.4758,0.1586
v32_scan_balanced_crisis_g0.66_v0.150_c0.95_k0.05,False,True,2.0244,0.2072,-0.1056,0.5638,2.2786,-0.0368,-0.0523,0.3961,0.5738,0.0302
v32_scan_balanced_crisis_g0.64_v0.150_c0.86_k0.14,False,True,2.0236,0.2009,-0.0981,0.5636,2.2748,-0.0762,-0.0536,0.3856,0.5284,0.086
v32_scan_balanced_crisis_g0.66_v0.140_c0.90_k0.10,False,True,2.0231,0.1979,-0.1002,0.5641,2.2945,-0.0488,-0.0537,0.3764,0.5612,0.0624
v32_scan_balanced_crisis_g0.64_v0.145_c0.82_k0.18,False,True,2.0217,0.1961,-0.0953,0.5638,2.2938,-0.0747,-0.0591,0.3764,0.5114,0.1123
v32_scan_balanced_crisis_g0.68_v0.135_c1.00_k0.00,False,True,2.0208,0.1999,-0.1076,0.5641,2.2881,-0.0136,-0.0416,0.3758,0.6242,0.0
v32_scan_balanced_crisis_g0.66_v0.150_c1.00_k0.00,False,True,2.0207,0.2081,-0.1093,0.5638,2.2817,0.006,-0.0519,0.396,0.604,0.0
v32_scan_balanced_crisis_g0.64_v0.150_c0.90_k0.10,False,True,2.0204,0.2015,-0.1011,0.5638,2.276,-0.0343,-0.0526,0.3856,0.5529,0.0614
v32_scan_balanced_crisis_g0.66_v0.145_c1.00_k0.00,False,True,2.02,0.2042,-0.1086,0.5638,2.2866,-0.0071,-0.0462,0.3865,0.6135,0.0
v32_scan_balanced_crisis_g0.66_v0.135_c0.82_k0.18,False,True,2.0173,0.1913,-0.0942,0.5643,2.2967,-0.0821,-0.0589,0.3656,0.5202,0.1142
v32_scan_balanced_crisis_g0.64_v0.145_c0.86_k0.14,False,True,2.0165,0.1965,-0.0982,0.5638,2.2878,-0.0614,-0.0567,0.3763,0.5363,0.0873
v32_scan_balanced_crisis_g0.66_v0.140_c0.95_k0.05,False,True,2.0163,0.1985,-0.104,0.5641,2.2882,-0.0326,-0.0511,0.3764,0.5924,0.0312
v32_scan_balanced_crisis_g0.64_v0.140_c0.75_k0.25,False,True,2.0152,0.1899,-0.0893,0.5627,2.2976,-0.1105,-0.0632,0.3666,0.4751,0.1584
v32_scan_balanced_crisis_g0.64_v0.150_c0.95_k0.05,False,True,2.014,0.2021,-0.1049,0.5636,2.2701,-0.0186,-0.0501,0.3856,0.5837,0.0307
v32_scan_balanced_crisis_g0.64_v0.145_c0.90_k0.10,False,True,2.0127,0.197,-0.1004,0.5636,2.2854,-0.0482,-0.0558,0.3763,0.5613,0.0624
