name,industry,production,sharpe,annual_return,mdd,win_rate,oos,min_oos,decay,avg_stock_exposure,avg_crisis_weight,avg_carry_weight
v32_scan_lowvol_recent_guard_g0.60_v0.115_c1.00_k0.00,False,True,1.9653,0.1631,-0.1043,0.5646,2.3506,0.2895,-0.0564,0.2822,0.7178,0.0
v32_scan_balanced_crisis_g0.62_v0.135_c0.86_k0.14,False,True,1.9649,0.1802,-0.096,0.5641,2.2612,-0.0893,-0.0621,0.3463,0.5622,0.0915
v32_scan_lowvol_blended_floor_g0.58_v0.130_c0.90_k0.10,False,True,1.9641,0.1688,-0.0974,0.565,2.3046,0.0637,-0.0598,0.3106,0.6205,0.0689
v32_scan_lowvol_recent_guard_g0.56_v0.120_c0.86_k0.14,False,True,1.9623,0.1556,-0.0931,0.5648,2.3426,0.1917,-0.0674,0.2754,0.6231,0.1014
v32_scan_balanced_crisis_g0.62_v0.140_c1.00_k0.00,False,True,1.9608,0.1872,-0.1066,0.5643,2.2508,-0.0346,-0.0535,0.3562,0.6438,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.120_c0.75_k0.25,False,True,1.9605,0.1487,-0.0833,0.565,2.3487,0.1396,-0.0783,0.2665,0.5501,0.1834
v32_scan_lowvol_recent_guard_g0.58_v0.115_c0.90_k0.10,False,True,1.9596,0.1562,-0.0966,0.565,2.3526,0.2501,-0.0641,0.2737,0.6537,0.0726
v32_scan_lowvol_recent_guard_g0.56_v0.115_c0.75_k0.25,False,True,1.9592,0.1482,-0.0832,0.5648,2.3688,0.1846,-0.0855,0.265,0.5513,0.1838
v32_scan_lowvol_blended_floor_g0.62_v0.115_c0.90_k0.10,False,True,1.9592,0.1634,-0.0972,0.5646,2.334,0.1633,-0.0662,0.2962,0.6334,0.0704
v32_scan_balanced_crisis_g0.62_v0.135_c0.90_k0.10,False,True,1.959,0.1807,-0.099,0.5645,2.2561,-0.0747,-0.06,0.3463,0.5883,0.0654
v32_scan_lowvol_blended_floor_g0.60_v0.125_c0.90_k0.10,False,True,1.9583,0.168,-0.0973,0.5648,2.318,0.0937,-0.0671,0.3094,0.6216,0.0691
v32_scan_lowvol_blended_floor_g0.60_v0.115_c0.75_k0.25,False,True,1.9582,0.1559,-0.0844,0.5659,2.345,0.0969,-0.0776,0.2878,0.5341,0.178
v32_scan_lowvol_recent_guard_g0.60_v0.105_c0.82_k0.18,False,True,1.9577,0.1486,-0.0894,0.5646,2.3795,0.2655,-0.0736,0.2596,0.6071,0.1333
v32_scan_lowvol_blended_floor_g0.58_v0.125_c0.82_k0.18,False,True,1.9572,0.1623,-0.0906,0.5655,2.3158,0.0547,-0.0685,0.3004,0.5737,0.1259
v32_scan_lowvol_blended_floor_g0.58_v0.120_c0.75_k0.25,False,True,1.9569,0.1565,-0.0846,0.5659,2.324,0.0497,-0.0779,0.2903,0.5323,0.1774
v32_scan_lowvol_blended_floor_g0.60_v0.120_c0.82_k0.18,False,True,1.9562,0.1616,-0.0905,0.5652,2.3303,0.0871,-0.0758,0.2986,0.5751,0.1262
v32_scan_lowvol_recent_guard_g0.60_v0.110_c0.95_k0.05,False,True,1.9551,0.1568,-0.1005,0.5655,2.3591,0.2983,-0.0628,0.2713,0.6922,0.0364
v32_scan_lowvol_blended_floor_g0.58_v0.130_c0.95_k0.05,False,True,1.9545,0.1695,-0.1011,0.5648,2.298,0.0824,-0.0577,0.3106,0.6549,0.0345
v32_scan_lowvol_recent_guard_g0.58_v0.110_c0.82_k0.18,False,True,1.954,0.1494,-0.0895,0.5648,2.3691,0.2451,-0.0749,0.2628,0.6045,0.1327
v32_scan_lowvol_blended_floor_g0.62_v0.120_c1.00_k0.00,False,True,1.9539,0.1701,-0.1053,0.565,2.314,0.1605,-0.0578,0.3076,0.6924,0.0
v32_scan_lowvol_recent_guard_g0.58_v0.120_c1.00_k0.00,False,True,1.9536,0.1629,-0.1043,0.565,2.3341,0.248,-0.0572,0.2842,0.7158,0.0
v32_scan_balanced_crisis_g0.62_v0.135_c0.95_k0.05,False,True,1.9521,0.1814,-0.1021,0.5641,2.2514,-0.0567,-0.0583,0.3463,0.621,0.0327
v32_scan_lowvol_recent_guard_g0.56_v0.120_c0.90_k0.10,False,True,1.9517,0.1561,-0.0966,0.565,2.3345,0.2072,-0.0649,0.2754,0.6521,0.0725
v32_scan_lowvol_blended_floor_g0.58_v0.125_c0.86_k0.14,False,True,1.9488,0.1628,-0.094,0.5652,2.3079,0.0705,-0.0655,0.3003,0.6017,0.098
v32_scan_lowvol_blended_floor_g0.60_v0.125_c0.95_k0.05,False,True,1.9486,0.1687,-0.101,0.5648,2.311,0.112,-0.0649,0.3094,0.6561,0.0345
v32_scan_lowvol_recent_guard_g0.58_v0.105_c0.75_k0.25,False,True,1.9483,0.1428,-0.0831,0.5648,2.3797,0.2312,-0.0824,0.2518,0.5611,0.187
v32_scan_lowvol_blended_floor_g0.62_v0.115_c0.95_k0.05,False,True,1.9482,0.1642,-0.1011,0.565,2.3262,0.1815,-0.0639,0.2962,0.6686,0.0352
v32_scan_lowvol_blended_floor_g0.56_v0.130_c0.75_k0.25,False,True,1.9478,0.1598,-0.0848,0.5652,2.3104,-0.0056,-0.0791,0.301,0.5243,0.1748
v32_scan_lowvol_blended_floor_g0.60_v0.120_c0.86_k0.14,False,True,1.9477,0.1621,-0.0939,0.5646,2.322,0.1027,-0.0728,0.2986,0.6032,0.0982
v32_scan_lowvol_recent_guard_g0.58_v0.115_c0.95_k0.05,False,True,1.9462,0.157,-0.1007,0.5655,2.3441,0.2683,-0.0616,0.2736,0.6901,0.0363
v32_scan_lowvol_recent_guard_g0.60_v0.105_c0.86_k0.14,False,True,1.9461,0.1491,-0.0932,0.5648,2.3697,0.2811,-0.0708,0.2596,0.6367,0.1037
v32_scan_lowvol_recent_guard_g0.56_v0.110_c0.75_k0.25,False,True,1.9454,0.1435,-0.0831,0.565,2.3681,0.2099,-0.0886,0.2547,0.559,0.1863
v32_scan_lowvol_blended_floor_g0.60_v0.115_c0.82_k0.18,False,True,1.9448,0.1569,-0.0904,0.5648,2.3336,0.1254,-0.0737,0.2878,0.584,0.1282
v32_scan_lowvol_blended_floor_g0.58_v0.120_c0.82_k0.18,False,True,1.944,0.1576,-0.0905,0.5648,2.3133,0.0788,-0.0742,0.2903,0.582,0.1278
v32_scan_lowvol_blended_floor_g0.58_v0.130_c1.00_k0.00,False,True,1.9433,0.1701,-0.1053,0.5648,2.2896,0.1006,-0.055,0.3106,0.6894,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.120_c0.82_k0.18,False,True,1.9432,0.1497,-0.0896,0.5646,2.3336,0.1693,-0.0732,0.2665,0.6014,0.132
v32_scan_balanced_crisis_g0.62_v0.135_c1.00_k0.00,False,True,1.9429,0.182,-0.1059,0.5643,2.2431,-0.0391,-0.0552,0.3463,0.6537,0.0
v32_scan_lowvol_recent_guard_g0.58_v0.110_c0.86_k0.14,False,True,1.9428,0.1499,-0.0931,0.5648,2.3595,0.2608,-0.0721,0.2628,0.634,0.1032
v32_scan_lowvol_recent_guard_g0.56_v0.115_c0.82_k0.18,False,True,1.9415,0.1492,-0.0895,0.5648,2.3532,0.2136,-0.0803,0.265,0.6027,0.1323
v32_scan_lowvol_blended_floor_g0.58_v0.125_c0.90_k0.10,False,True,1.9404,0.1633,-0.0973,0.5648,2.3012,0.0861,-0.0633,0.3003,0.6297,0.07
v32_scan_lowvol_blended_floor_g0.60_v0.120_c0.90_k0.10,False,True,1.9392,0.1627,-0.0973,0.5646,2.3152,0.118,-0.0704,0.2986,0.6313,0.0701
v32_scan_lowvol_recent_guard_g0.60_v0.110_c1.00_k0.00,False,True,1.9391,0.1575,-0.1049,0.565,2.3474,0.3156,-0.0595,0.2713,0.7287,0.0
v32_scan_lowvol_recent_guard_g0.56_v0.120_c0.95_k0.05,False,True,1.9387,0.1569,-0.1007,0.5652,2.3265,0.2259,-0.0625,0.2754,0.6884,0.0362
v32_scan_lowvol_blended_floor_g0.56_v0.125_c0.75_k0.25,False,True,1.9379,0.1554,-0.0847,0.5659,2.3079,0.0159,-0.0831,0.2912,0.5316,0.1772
v32_scan_lowvol_blended_floor_g0.60_v0.125_c1.00_k0.00,False,True,1.9374,0.1693,-0.1053,0.5648,2.3024,0.1299,-0.0621,0.3094,0.6906,0.0
v32_scan_lowvol_blended_floor_g0.56_v0.130_c0.82_k0.18,False,True,1.9363,0.1608,-0.0907,0.5657,2.301,0.0234,-0.0757,0.3009,0.5732,0.1258
v32_scan_lowvol_blended_floor_g0.60_v0.115_c0.86_k0.14,False,True,1.9355,0.1574,-0.0939,0.5644,2.325,0.1412,-0.0707,0.2878,0.6125,0.0997
v32_scan_lowvol_blended_floor_g0.62_v0.115_c1.00_k0.00,False,True,1.9354,0.1648,-0.1054,0.5652,2.316,0.1992,-0.0608,0.2962,0.7038,0.0
v32_scan_lowvol_blended_floor_g0.58_v0.120_c0.86_k0.14,False,True,1.9349,0.1581,-0.0939,0.5644,2.305,0.095,-0.0712,0.2902,0.6104,0.0994
v32_scan_lowvol_blended_floor_g0.58_v0.115_c0.75_k0.25,False,True,1.9346,0.151,-0.0844,0.5655,2.3278,0.0878,-0.0812,0.2794,0.5405,0.1802
v32_scan_lowvol_recent_guard_g0.60_v0.105_c0.90_k0.10,False,True,1.9342,0.1497,-0.0971,0.5652,2.3608,0.2963,-0.0682,0.2596,0.6663,0.074
v32_scan_lowvol_recent_guard_g0.54_v0.120_c0.86_k0.14,False,True,1.9324,0.1503,-0.0931,0.565,2.3247,0.1858,-0.0705,0.2665,0.6308,0.1027
v32_scan_lowvol_recent_guard_g0.58_v0.110_c0.90_k0.10,False,True,1.9312,0.1505,-0.0969,0.565,2.3508,0.2761,-0.0695,0.2628,0.6635,0.0737
v32_scan_lowvol_recent_guard_g0.58_v0.115_c1.00_k0.00,False,True,1.9311,0.1577,-0.1047,0.565,2.3334,0.2858,-0.0586,0.2735,0.7265,0.0
v32_scan_lowvol_recent_guard_g0.56_v0.115_c0.86_k0.14,False,True,1.9306,0.1497,-0.0931,0.565,2.3439,0.2296,-0.0775,0.265,0.6321,0.1029
v32_scan_lowvol_blended_floor_g0.58_v0.125_c0.95_k0.05,False,True,1.9302,0.164,-0.1011,0.5648,2.2942,0.105,-0.0612,0.3003,0.6647,0.035
v32_scan_lowvol_recent_guard_g0.54_v0.115_c0.75_k0.25,False,True,1.9296,0.1431,-0.0832,0.565,2.3507,0.1773,-0.0893,0.2565,0.5576,0.1859
v32_scan_lowvol_blended_floor_g0.60_v0.120_c0.95_k0.05,False,True,1.9287,0.1634,-0.1011,0.5648,2.3078,0.1367,-0.0682,0.2986,0.6663,0.0351
v32_scan_lowvol_recent_guard_g0.58_v0.105_c0.82_k0.18,False,True,1.9285,0.1439,-0.0898,0.565,2.3629,0.2607,-0.0771,0.2518,0.6135,0.1347
v32_scan_lowvol_blended_floor_g0.56_v0.130_c0.86_k0.14,False,True,1.9281,0.1613,-0.0941,0.5659,2.2933,0.0395,-0.0728,0.3009,0.6012,0.0979
v32_scan_lowvol_blended_floor_g0.60_v0.115_c0.90_k0.10,False,True,1.9263,0.158,-0.0973,0.5648,2.3177,0.1567,-0.0683,0.2878,0.641,0.0712
v32_scan_lowvol_blended_floor_g0.56_v0.120_c0.75_k0.25,False,True,1.9263,0.1511,-0.0845,0.5659,2.3059,0.0398,-0.0817,0.2814,0.5389,0.1796
v32_scan_lowvol_recent_guard_g0.56_v0.110_c0.82_k0.18,False,True,1.9262,0.1445,-0.0897,0.5652,2.3517,0.2395,-0.0833,0.2547,0.6112,0.1342
v32_scan_lowvol_blended_floor_g0.58_v0.120_c0.90_k0.10,False,True,1.9259,0.1587,-0.0973,0.5648,2.2981,0.1108,-0.0689,0.2902,0.6388,0.071
v32_scan_lowvol_blended_floor_g0.56_v0.125_c0.82_k0.18,False,True,1.9254,0.1565,-0.0906,0.5652,2.2979,0.0455,-0.0796,0.2912,0.5812,0.1276
v32_scan_lowvol_recent_guard_g0.56_v0.120_c1.00_k0.00,False,True,1.9239,0.1576,-0.1046,0.565,2.3162,0.244,-0.0596,0.2753,0.7247,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.120_c0.90_k0.10,False,True,1.9214,0.1509,-0.0968,0.5652,2.3166,0.2017,-0.068,0.2665,0.6601,0.0733
v32_scan_lowvol_recent_guard_g0.56_v0.105_c0.75_k0.25,False,True,1.9208,0.1382,-0.0834,0.5652,2.3621,0.2252,-0.093,0.2444,0.5667,0.1889
v32_scan_lowvol_blended_floor_g0.58_v0.115_c0.82_k0.18,False,True,1.9204,0.1521,-0.0905,0.5646,2.3163,0.1173,-0.0774,0.2793,0.5909,0.1297
v32_scan_lowvol_blended_floor_g0.56_v0.130_c0.90_k0.10,False,True,1.9199,0.1619,-0.0974,0.565,2.2869,0.0554,-0.0706,0.3009,0.6292,0.0699
v32_scan_lowvol_recent_guard_g0.60_v0.105_c0.95_k0.05,False,True,1.9198,0.1505,-0.1012,0.5652,2.3523,0.3146,-0.066,0.2595,0.7034,0.037
v32_scan_lowvol_recent_guard_g0.56_v0.115_c0.90_k0.10,False,True,1.9194,0.1503,-0.0969,0.5652,2.3354,0.2451,-0.075,0.265,0.6615,0.0735
v32_scan_lowvol_blended_floor_g0.58_v0.125_c1.00_k0.00,False,True,1.9183,0.1647,-0.1054,0.5652,2.2856,0.1235,-0.0584,0.3003,0.6997,0.0
v32_scan_lowvol_recent_guard_g0.58_v0.110_c0.95_k0.05,False,True,1.9173,0.1514,-0.101,0.5659,2.3427,0.2945,-0.0674,0.2627,0.7004,0.0369
v32_scan_lowvol_blended_floor_g0.56_v0.125_c0.86_k0.14,False,True,1.9165,0.157,-0.094,0.5652,2.2898,0.0619,-0.0766,0.2912,0.6096,0.0992
v32_scan_lowvol_recent_guard_g0.58_v0.105_c0.86_k0.14,False,True,1.9164,0.1444,-0.0937,0.565,2.3531,0.2768,-0.0743,0.2518,0.6435,0.1047
v32_scan_lowvol_blended_floor_g0.60_v0.120_c1.00_k0.00,False,True,1.9163,0.164,-0.1054,0.5652,2.298,0.1548,-0.0652,0.2986,0.7014,0.0
v32_scan_lowvol_blended_floor_g0.60_v0.115_c0.95_k0.05,False,True,1.9149,0.1587,-0.1011,0.5652,2.3098,0.1755,-0.066,0.2878,0.6766,0.0356
v32_scan_lowvol_blended_floor_g0.58_v0.120_c0.95_k0.05,False,True,1.9148,0.1594,-0.1012,0.5652,2.2907,0.13,-0.0667,0.2902,0.6743,0.0355
v32_scan_lowvol_recent_guard_g0.56_v0.110_c0.86_k0.14,False,True,1.9144,0.1451,-0.0936,0.5652,2.3421,0.2557,-0.0805,0.2547,0.641,0.1043
v32_scan_lowvol_blended_floor_g0.56_v0.120_c0.82_k0.18,False,True,1.9127,0.1522,-0.0906,0.5648,2.2951,0.07,-0.078,0.2814,0.5892,0.1293
v32_scan_lowvol_recent_guard_g0.54_v0.110_c0.75_k0.25,False,True,1.9115,0.1385,-0.0833,0.5655,2.3496,0.203,-0.0883,0.2466,0.565,0.1883
v32_scan_lowvol_recent_guard_g0.54_v0.115_c0.82_k0.18,False,True,1.911,0.1441,-0.0897,0.565,2.3349,0.2073,-0.0841,0.2565,0.6096,0.1338
v32_scan_lowvol_blended_floor_g0.58_v0.115_c0.86_k0.14,False,True,1.9107,0.1526,-0.0939,0.5646,2.3076,0.1337,-0.0743,0.2793,0.6198,0.1009
v32_scan_lowvol_blended_floor_g0.56_v0.130_c0.95_k0.05,False,True,1.9099,0.1626,-0.1012,0.565,2.2802,0.0747,-0.0686,0.3009,0.6641,0.035
v32_scan_lowvol_blended_floor_g0.56_v0.115_c0.75_k0.25,False,True,1.9087,0.1462,-0.0844,0.5652,2.3094,0.0782,-0.0876,0.2711,0.5467,0.1822
v32_scan_lowvol_recent_guard_g0.54_v0.120_c0.95_k0.05,False,True,1.9082,0.1517,-0.1008,0.5655,2.3094,0.2211,-0.066,0.2664,0.6969,0.0367
v32_scan_lowvol_blended_floor_g0.56_v0.125_c0.90_k0.10,False,True,1.9077,0.1576,-0.0974,0.565,2.2832,0.078,-0.0744,0.2912,0.6379,0.0709
v32_scan_lowvol_recent_guard_g0.56_v0.115_c0.95_k0.05,False,True,1.906,0.1511,-0.1009,0.5657,2.3277,0.2639,-0.0729,0.2649,0.6984,0.0368
v32_scan_lowvol_recent_guard_g0.58_v0.105_c0.90_k0.10,False,True,1.904,0.145,-0.0975,0.5652,2.3441,0.2924,-0.0717,0.2517,0.6734,0.0748
v32_scan_lowvol_recent_guard_g0.60_v0.105_c1.00_k0.00,False,True,1.9034,0.1513,-0.1057,0.5652,2.3412,0.3321,-0.0629,0.2595,0.7405,0.0
v32_scan_lowvol_blended_floor_g0.56_v0.120_c0.86_k0.14,False,True,1.9032,0.1527,-0.094,0.5648,2.2868,0.0868,-0.075,0.2814,0.618,0.1006
v32_scan_lowvol_recent_guard_g0.56_v0.110_c0.90_k0.10,False,True,1.9023,0.1457,-0.0974,0.5655,2.3333,0.2714,-0.078,0.2547,0.6708,0.0745
v32_scan_lowvol_blended_floor_g0.58_v0.120_c1.00_k0.00,False,True,1.9018,0.16,-0.1055,0.565,2.2809,0.1487,-0.0637,0.2902,0.7098,0.0
v32_scan_lowvol_blended_floor_g0.60_v0.115_c1.00_k0.00,False,True,1.9016,0.1594,-0.1055,0.565,2.2997,0.1937,-0.063,0.2878,0.7122,0.0
v32_scan_lowvol_blended_floor_g0.58_v0.115_c0.90_k0.10,False,True,1.901,0.1532,-0.0973,0.565,2.3003,0.1497,-0.072,0.2793,0.6486,0.0721
v32_scan_lowvol_recent_guard_g0.58_v0.110_c1.00_k0.00,False,True,1.9008,0.1521,-0.1055,0.5652,2.331,0.3122,-0.0641,0.2627,0.7373,0.0
v32_scan_lowvol_recent_guard_g0.56_v0.105_c0.82_k0.18,False,True,1.8999,0.1393,-0.0902,0.5652,2.3448,0.2556,-0.0876,0.2444,0.6196,0.136
v32_scan_lowvol_recent_guard_g0.54_v0.115_c0.86_k0.14,False,True,1.8996,0.1447,-0.0935,0.5655,2.3256,0.2238,-0.0814,0.2565,0.6394,0.1041
v32_scan_lowvol_blended_floor_g0.56_v0.130_c1.00_k0.00,False,True,1.8983,0.1633,-0.1054,0.5655,2.2718,0.0936,-0.0659,0.3009,0.6991,0.0
v32_scan_lowvol_blended_floor_g0.56_v0.125_c0.95_k0.05,False,True,1.897,0.1583,-0.1012,0.5655,2.2762,0.0977,-0.0723,0.2912,0.6734,0.0354
v32_scan_lowvol_blended_floor_g0.56_v0.115_c0.82_k0.18,False,True,1.8938,0.1473,-0.0905,0.565,2.2977,0.1088,-0.0837,0.2711,0.5977,0.1312
v32_scan_lowvol_blended_floor_g0.56_v0.120_c0.90_k0.10,False,True,1.8938,0.1532,-0.0974,0.5652,2.2798,0.1031,-0.0727,0.2814,0.6468,0.0719
v32_scan_lowvol_recent_guard_g0.54_v0.120_c1.00_k0.00,False,True,1.8923,0.1524,-0.1052,0.5652,2.2982,0.2397,-0.0628,0.2664,0.7336,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.110_c0.82_k0.18,False,True,1.8913,0.1395,-0.0902,0.5655,2.3328,0.2336,-0.0829,0.2466,0.6178,0.1356
v32_scan_lowvol_recent_guard_g0.56_v0.115_c1.00_k0.00,False,True,1.8899,0.1518,-0.1053,0.5652,2.3163,0.2819,-0.0697,0.2648,0.7352,0.0
v32_scan_lowvol_blended_floor_g0.58_v0.115_c0.95_k0.05,False,True,1.8891,0.1539,-0.1013,0.5652,2.2924,0.1691,-0.0698,0.2793,0.6847,0.036
v32_scan_lowvol_recent_guard_g0.58_v0.105_c0.95_k0.05,False,True,1.889,0.1458,-0.1017,0.5655,2.3356,0.3112,-0.0696,0.2517,0.7109,0.0374
v32_scan_lowvol_recent_guard_g0.54_v0.105_c0.75_k0.25,False,True,1.8879,0.1335,-0.0837,0.5652,2.3432,0.2188,-0.0974,0.2366,0.5726,0.1909
v32_scan_lowvol_recent_guard_g0.54_v0.115_c0.90_k0.10,False,True,1.8879,0.1453,-0.0974,0.5655,2.3171,0.2398,-0.0789,0.2565,0.6691,0.0743
v32_scan_lowvol_recent_guard_g0.56_v0.110_c0.95_k0.05,False,True,1.8877,0.1465,-0.1015,0.5655,2.3253,0.2904,-0.0759,0.2546,0.7081,0.0373
v32_scan_lowvol_recent_guard_g0.56_v0.105_c0.86_k0.14,False,True,1.8874,0.1399,-0.0941,0.565,2.3353,0.2722,-0.085,0.2444,0.6498,0.1058
v32_scan_lowvol_blended_floor_g0.56_v0.125_c1.00_k0.00,False,True,1.8843,0.1589,-0.1055,0.5655,2.2667,0.1168,-0.0694,0.2912,0.7088,0.0
v32_scan_lowvol_blended_floor_g0.56_v0.115_c0.86_k0.14,False,True,1.8835,0.1478,-0.0939,0.565,2.289,0.1258,-0.0807,0.2711,0.6269,0.102
v32_scan_lowvol_blended_floor_g0.56_v0.120_c0.95_k0.05,False,True,1.8822,0.154,-0.1012,0.5652,2.2725,0.1231,-0.0706,0.2814,0.6827,0.0359
v32_scan_lowvol_recent_guard_g0.54_v0.110_c0.86_k0.14,False,True,1.8792,0.1401,-0.094,0.5652,2.3234,0.2503,-0.0803,0.2466,0.6479,0.1055
v32_scan_lowvol_blended_floor_g0.58_v0.115_c1.00_k0.00,False,True,1.8752,0.1546,-0.1059,0.565,2.2823,0.1879,-0.0668,0.2793,0.7207,0.0
v32_scan_lowvol_recent_guard_g0.56_v0.105_c0.90_k0.10,False,True,1.8744,0.1405,-0.098,0.565,2.3263,0.2882,-0.0825,0.2443,0.6801,0.0756
v32_scan_lowvol_recent_guard_g0.54_v0.115_c0.95_k0.05,False,True,1.8738,0.1461,-0.1014,0.5655,2.3095,0.2592,-0.0769,0.2564,0.7064,0.0372
v32_scan_lowvol_blended_floor_g0.56_v0.115_c0.90_k0.10,False,True,1.8734,0.1484,-0.0976,0.5655,2.2816,0.1423,-0.0784,0.2711,0.656,0.0729
v32_scan_lowvol_recent_guard_g0.58_v0.105_c1.00_k0.00,False,True,1.872,0.1466,-0.1062,0.5652,2.3246,0.3291,-0.0666,0.2517,0.7483,0.0
v32_scan_lowvol_recent_guard_g0.56_v0.110_c1.00_k0.00,False,True,1.8711,0.1472,-0.1061,0.5655,2.3144,0.3086,-0.073,0.2545,0.7455,0.0
v32_scan_lowvol_blended_floor_g0.56_v0.120_c1.00_k0.00,False,True,1.8686,0.1547,-0.1058,0.5652,2.2627,0.1424,-0.0677,0.2814,0.7186,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.110_c0.90_k0.10,False,True,1.8666,0.1407,-0.0979,0.5655,2.3147,0.2665,-0.0779,0.2465,0.6781,0.0753
v32_scan_lowvol_recent_guard_g0.54_v0.105_c0.82_k0.18,False,True,1.8661,0.1345,-0.0906,0.5652,2.3259,0.2502,-0.0921,0.2366,0.626,0.1374
v32_scan_lowvol_blended_floor_g0.56_v0.115_c0.95_k0.05,False,True,1.8609,0.1492,-0.1018,0.5657,2.2739,0.1623,-0.0763,0.2711,0.6925,0.0364
v32_scan_lowvol_recent_guard_g0.56_v0.105_c0.95_k0.05,False,True,1.8582,0.1413,-0.1022,0.5655,2.3168,0.3075,-0.08,0.2443,0.7179,0.0378
v32_scan_lowvol_recent_guard_g0.54_v0.115_c1.00_k0.00,False,True,1.8576,0.1468,-0.1059,0.5655,2.2989,0.2777,-0.0739,0.2564,0.7436,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.105_c0.86_k0.14,False,True,1.8531,0.1351,-0.0946,0.5652,2.3163,0.2672,-0.0895,0.2366,0.6566,0.1069
v32_scan_lowvol_recent_guard_g0.54_v0.110_c0.95_k0.05,False,True,1.8509,0.1415,-0.1021,0.5655,2.3056,0.286,-0.0754,0.2465,0.7158,0.0377
v32_scan_lowvol_blended_floor_g0.56_v0.115_c1.00_k0.00,False,True,1.8465,0.1498,-0.1065,0.5655,2.2638,0.1817,-0.0734,0.271,0.729,0.0
v32_scan_lowvol_recent_guard_g0.56_v0.105_c1.00_k0.00,False,True,1.8412,0.1421,-0.1068,0.565,2.3069,0.3259,-0.0776,0.2442,0.7558,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.105_c0.90_k0.10,False,True,1.8401,0.1358,-0.0981,0.5648,2.3082,0.2837,-0.0875,0.2365,0.6871,0.0763
v32_scan_lowvol_recent_guard_g0.54_v0.110_c1.00_k0.00,False,True,1.8344,0.1423,-0.1066,0.5652,2.2959,0.3047,-0.073,0.2465,0.7535,0.0
v32_scan_lowvol_recent_guard_g0.54_v0.105_c0.95_k0.05,False,True,1.8229,0.1366,-0.1027,0.5655,2.298,0.3035,-0.0847,0.2365,0.7254,0.0382
v32_scan_lowvol_recent_guard_g0.54_v0.105_c1.00_k0.00,False,True,1.8051,0.1373,-0.1073,0.5655,2.2879,0.3224,-0.0823,0.2364,0.7636,0.0
