date,close_count,warmup_eligible_count,close_coverage_ratio
2006-01-04,491,0,0.313738
2006-01-05,491,0,0.313738
2006-01-06,491,0,0.313738
2006-01-09,491,0,0.313738
2006-01-10,491,0,0.313738
2006-01-11,491,0,0.313738
2006-01-12,491,0,0.313738
2006-01-13,491,0,0.313738
2006-01-16,491,0,0.313738
2006-01-17,491,0,0.313738
2006-01-18,491,0,0.313738
2006-01-19,491,0,0.313738
2006-01-20,491,0,0.313738
2006-01-23,491,0,0.313738
2006-01-24,491,0,0.313738
2006-01-25,491,0,0.313738
2006-02-06,491,0,0.313738
2006-02-07,491,0,0.313738
2006-02-08,491,0,0.313738
2006-02-09,491,0,0.313738
2006-02-10,491,0,0.313738
2006-02-13,491,0,0.313738
2006-02-14,491,0,0.313738
2006-02-15,491,0,0.313738
2006-02-16,491,0,0.313738
2006-02-17,491,0,0.313738
2006-02-20,491,0,0.313738
2006-02-21,491,0,0.313738
2006-02-22,491,0,0.313738
2006-02-23,491,0,0.313738
2006-02-24,491,0,0.313738
2006-02-27,491,0,0.313738
2006-02-28,491,0,0.313738
2006-03-01,491,0,0.313738
2006-03-02,491,0,0.313738
2006-03-03,491,0,0.313738
2006-03-06,491,0,0.313738
2006-03-07,491,0,0.313738
2006-03-08,491,0,0.313738
2006-03-09,491,0,0.313738
2006-03-10,491,0,0.313738
2006-03-13,491,0,0.313738
2006-03-14,491,0,0.313738
2006-03-15,491,0,0.313738
2006-03-16,491,0,0.313738
2006-03-17,491,0,0.313738
2006-03-20,491,0,0.313738
2006-03-21,491,0,0.313738
2006-03-22,491,0,0.313738
2006-03-23,491,0,0.313738
2006-03-24,491,0,0.313738
2006-03-27,491,0,0.313738
2006-03-28,491,0,0.313738
2006-03-29,491,0,0.313738
2006-03-30,491,0,0.313738
2006-03-31,491,0,0.313738
2006-04-03,491,0,0.313738
2006-04-04,491,0,0.313738
2006-04-05,491,0,0.313738
2006-04-06,491,0,0.313738
2006-04-07,491,0,0.313738
2006-04-10,491,0,0.313738
2006-04-11,491,0,0.313738
2006-04-12,491,0,0.313738
2006-04-13,491,0,0.313738
2006-04-14,491,0,0.313738
2006-04-17,491,0,0.313738
2006-04-18,491,0,0.313738
2006-04-19,491,0,0.313738
