name,capital,universe_mode,risk_profile,rank_mode,max_assets,rebalance_freq,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,long_history_research_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v36_regime_expanded_recent_defensive_trend_50000_2asset_20d,50000.0,expanded_recent,defensive,trend,2,20,True,False,True,False,-0.2641,0.017,0.0305,-0.0569,0.376,0.2267,61332.82,1.14,0.0916,0.9084,0.0948,0.3607,48,1334.28,0.0267,221,-1.1341,-2.0765
v36_regime_expanded_recent_defensive_risk_adjusted_50000_1asset_20d,50000.0,expanded_recent,defensive,risk_adjusted,1,20,True,False,True,False,-0.2796,0.0162,0.0313,-0.0555,0.2345,0.2155,60774.83,0.44,0.0662,0.9338,0.0693,0.3554,85,743.57,0.0149,105,-1.2696,-3.4642
v36_regime_expanded_recent_balanced_risk_adjusted_100000_2asset_20d,100000.0,expanded_recent,balanced,risk_adjusted,2,20,True,False,True,False,-0.28,0.0148,0.0363,-0.0949,0.2492,0.192,119200.05,0.73,0.0621,0.9379,0.0664,0.4858,78,1267.45,0.0127,172,-2.5075,-4.1476
v36_regime_core_long_defensive_risk_adjusted_50000_2asset_20d,50000.0,core_long,defensive,risk_adjusted,2,20,True,False,True,False,-0.2832,0.0168,0.029,-0.0623,0.2303,0.2249,61242.66,0.65,0.068,0.932,0.0703,0.3554,90,929.04,0.0186,146,-2.156,-8.0326
v36_regime_expanded_recent_defensive_risk_adjusted_200000_2asset_40d,200000.0,expanded_recent,defensive,risk_adjusted,2,40,True,False,True,False,-0.2939,0.0157,0.0315,-0.0706,0.2569,0.2079,241571.94,0.72,0.0801,0.9199,0.082,0.3991,41,1300.66,0.0065,97,-1.6815,-4.3789
v36_regime_expanded_recent_defensive_risk_adjusted_200000_1asset_40d,200000.0,expanded_recent,defensive,risk_adjusted,1,40,True,False,True,False,-0.2945,0.0152,0.0331,-0.0715,0.2415,0.1998,239950.26,0.45,0.0713,0.9287,0.0729,0.3554,42,1155.34,0.0058,62,-1.3331,-3.4488
v36_regime_expanded_recent_defensive_risk_adjusted_100000_1asset_40d,100000.0,expanded_recent,defensive,risk_adjusted,1,40,True,False,True,False,-0.2981,0.0152,0.033,-0.0715,0.2415,0.1984,119843.32,0.45,0.0703,0.9297,0.0729,0.3554,42,641.28,0.0064,62,-1.334,-3.4443
v36_regime_expanded_recent_defensive_risk_adjusted_100000_2asset_40d,100000.0,expanded_recent,defensive,risk_adjusted,2,40,True,False,True,False,-0.3007,0.0156,0.0313,-0.0699,0.2566,0.2055,120551.75,0.71,0.0781,0.9219,0.082,0.3991,41,814.25,0.0081,95,-1.6978,-4.3953
v36_regime_expanded_recent_defensive_risk_adjusted_50000_1asset_40d,50000.0,expanded_recent,defensive,risk_adjusted,1,40,True,False,True,False,-0.3062,0.0149,0.0329,-0.0701,0.2364,0.1953,59763.92,0.44,0.0683,0.9317,0.0729,0.3554,42,446.18,0.0089,60,-1.3413,-3.4572
v36_regime_expanded_recent_defensive_risk_adjusted_50000_2asset_40d,50000.0,expanded_recent,defensive,risk_adjusted,2,40,True,False,True,False,-0.3174,0.0152,0.0309,-0.07,0.2511,0.2,59998.39,0.69,0.0756,0.9244,0.082,0.3991,41,613.91,0.0123,92,-1.721,-4.4412
