name,capital,universe_mode,risk_profile,rank_mode,max_assets,rebalance_freq,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,long_history_research_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v36_regime_expanded_recent_aggressive_risk_adjusted_50000_1asset_20d,50000.0,expanded_recent,aggressive,risk_adjusted,1,20,True,False,True,False,0.2074,0.041,0.0771,-0.1287,0.2947,0.6015,80077.47,0.56,0.1611,0.8389,0.1667,0.7054,67,1494.43,0.0299,132,-0.0403,-0.867
v36_regime_core_long_aggressive_risk_adjusted_200000_2asset_20d,200000.0,core_long,aggressive,risk_adjusted,2,20,True,False,True,False,0.1949,0.0381,0.067,-0.1212,0.2876,0.5582,311636.45,0.78,0.1305,0.8695,0.1308,0.7999,73,3255.25,0.0163,173,-0.7472,-2.3748
v36_regime_core_long_aggressive_risk_adjusted_100000_2asset_20d,100000.0,core_long,aggressive,risk_adjusted,2,20,True,False,True,False,0.1906,0.0376,0.066,-0.1207,0.2867,0.5504,155039.5,0.78,0.1282,0.8718,0.129,0.7999,73,1858.2,0.0186,174,-0.8606,-2.3889
v36_regime_core_long_balanced_trend_200000_1asset_20d,200000.0,core_long,balanced,trend,1,20,True,False,True,False,0.1868,0.035,0.0535,-0.0799,0.3735,0.5156,303125.96,0.7,0.1364,0.8636,0.1369,0.6058,47,3165.84,0.0158,151,-1.2274,-2.4375
v36_regime_core_long_aggressive_risk_adjusted_50000_2asset_20d,50000.0,core_long,aggressive,risk_adjusted,2,20,True,False,True,False,0.1841,0.0371,0.0656,-0.1168,0.2873,0.5414,77067.75,0.78,0.1272,0.8728,0.129,0.7999,73,1279.15,0.0256,170,-0.9004,-2.4525
v36_regime_core_long_balanced_risk_adjusted_200000_1asset_20d,200000.0,core_long,balanced,risk_adjusted,1,20,True,False,True,False,0.184,0.0336,0.0468,-0.087,0.2735,0.4961,299224.64,0.51,0.0934,0.9066,0.0933,0.5686,76,2383.66,0.0119,116,0.0519,-1.2817
v36_regime_expanded_recent_balanced_trend_50000_1asset_20d,50000.0,expanded_recent,balanced,trend,1,20,True,False,True,False,0.1796,0.0346,0.0532,-0.0755,0.3597,0.5076,75379.4,0.68,0.1331,0.8669,0.1343,0.6058,50,1127.6,0.0226,143,-1.5842,-3.7203
v36_regime_expanded_recent_balanced_trend_100000_1asset_20d,100000.0,expanded_recent,balanced,trend,1,20,True,False,True,False,0.1793,0.0346,0.0533,-0.0755,0.3603,0.5076,150758.46,0.68,0.1328,0.8672,0.1333,0.6058,50,1742.54,0.0174,147,-1.567,-3.7038
v36_regime_core_long_balanced_trend_100000_1asset_20d,100000.0,core_long,balanced,trend,1,20,True,False,True,False,0.1732,0.0342,0.0534,-0.08,0.3735,0.5016,150159.93,0.7,0.1351,0.8649,0.1359,0.6058,47,1753.97,0.0175,148,-1.237,-2.4568
v36_regime_expanded_recent_balanced_trend_200000_2asset_20d,200000.0,expanded_recent,balanced,trend,2,20,True,False,True,False,0.1271,0.0316,0.0516,-0.0733,0.3581,0.454,290809.69,1.15,0.145,0.855,0.1457,0.6149,52,3434.11,0.0172,246,-2.293,-4.2493
v36_regime_expanded_recent_balanced_trend_100000_2asset_20d,100000.0,expanded_recent,balanced,trend,2,20,True,False,True,False,0.1213,0.0312,0.0513,-0.0737,0.3645,0.4484,144839.65,1.16,0.1449,0.8551,0.1465,0.6149,50,2108.95,0.0211,244,-2.293,-4.2775
v36_regime_core_long_balanced_trend_200000_2asset_20d,200000.0,core_long,balanced,trend,2,20,True,False,True,False,0.1191,0.0311,0.0511,-0.0705,0.3674,0.4462,289237.07,1.14,0.1465,0.8535,0.1472,0.6149,50,3387.93,0.0169,241,-2.2362,-4.7896
v36_regime_core_long_balanced_trend_100000_2asset_20d,100000.0,core_long,balanced,trend,2,20,True,False,True,False,0.1141,0.0308,0.0509,-0.0698,0.3677,0.4413,144134.07,1.14,0.1457,0.8543,0.1472,0.6149,50,2059.43,0.0206,236,-2.271,-4.8658
v36_regime_core_long_balanced_risk_adjusted_200000_2asset_20d,200000.0,core_long,balanced,risk_adjusted,2,20,True,False,True,False,0.0983,0.0294,0.0445,-0.0794,0.2777,0.4214,284281.41,0.76,0.1034,0.8966,0.1045,0.5,76,2647.09,0.0132,173,-0.1476,-1.4103
v36_regime_expanded_recent_aggressive_risk_adjusted_200000_2asset_20d,200000.0,expanded_recent,aggressive,risk_adjusted,2,20,True,False,True,False,0.0457,0.0275,0.0558,-0.1212,0.304,0.3799,275970.62,0.88,0.1167,0.8833,0.1183,0.6834,67,3083.48,0.0154,207,-1.1239,-1.9888
v36_regime_core_long_aggressive_trend_200000_2asset_20d,200000.0,core_long,aggressive,trend,2,20,True,False,True,False,0.0422,0.0275,0.0592,-0.1221,0.288,0.3756,275128.17,0.88,0.1233,0.8767,0.122,0.95,74,2846.23,0.0142,182,-1.0603,-4.1697
v36_regime_expanded_recent_aggressive_risk_adjusted_100000_2asset_20d,100000.0,expanded_recent,aggressive,risk_adjusted,2,20,True,False,True,False,0.0406,0.0273,0.0556,-0.1207,0.296,0.3751,137507.27,0.83,0.1141,0.8859,0.1183,0.6834,67,1809.73,0.0181,197,-1.1393,-2.0102
v36_regime_core_long_aggressive_trend_100000_2asset_20d,100000.0,core_long,aggressive,trend,2,20,True,False,True,False,0.039,0.0273,0.0589,-0.1224,0.287,0.3725,137254.14,0.88,0.1227,0.8773,0.122,0.95,74,1710.56,0.0171,177,-1.0701,-4.2033
v36_regime_expanded_recent_aggressive_trend_200000_2asset_20d,200000.0,expanded_recent,aggressive,trend,2,20,True,False,True,False,0.0368,0.0272,0.0592,-0.1256,0.2864,0.3702,274036.1,0.88,0.1231,0.8769,0.1218,0.95,74,2873.7,0.0144,184,-1.0856,-4.1725
v36_regime_expanded_recent_aggressive_trend_100000_2asset_20d,100000.0,expanded_recent,aggressive,trend,2,20,True,False,True,False,0.0333,0.027,0.0589,-0.1261,0.2854,0.3668,136677.14,0.88,0.1226,0.8774,0.1218,0.95,74,1733.76,0.0173,180,-1.0934,-4.1967
v36_regime_expanded_recent_aggressive_risk_adjusted_50000_2asset_20d,50000.0,expanded_recent,aggressive,risk_adjusted,2,20,True,False,True,False,0.0324,0.0268,0.0552,-0.1168,0.2889,0.3675,68375.89,0.8,0.1099,0.8901,0.1183,0.6834,67,1282.01,0.0256,185,-1.1789,-2.041
v36_regime_core_long_balanced_risk_adjusted_100000_1asset_20d,100000.0,core_long,balanced,risk_adjusted,1,20,True,False,True,False,0.0212,0.0259,0.0425,-0.0922,0.2479,0.363,136298.71,0.46,0.0684,0.9316,0.0689,0.4284,83,1010.89,0.0101,104,-1.8174,-4.8059
v36_regime_core_long_aggressive_trend_50000_2asset_20d,50000.0,core_long,aggressive,trend,2,20,True,False,True,False,0.0208,0.0262,0.0575,-0.1295,0.287,0.3553,67764.58,0.88,0.1197,0.8803,0.1201,0.6834,74,1207.52,0.0242,173,-1.0797,-4.2174
v36_regime_expanded_recent_aggressive_trend_50000_2asset_20d,50000.0,expanded_recent,aggressive,trend,2,20,True,False,True,False,0.0154,0.0259,0.0575,-0.1329,0.2857,0.3501,67505.44,0.88,0.1195,0.8805,0.1199,0.6834,74,1221.26,0.0244,175,-1.1026,-4.2088
v36_regime_core_long_defensive_trend_200000_1asset_40d,200000.0,core_long,defensive,trend,1,40,True,False,True,False,0.0086,0.0253,0.035,-0.0718,0.3696,0.3577,271548.08,0.68,0.0928,0.9072,0.0933,0.3554,24,1352.42,0.0068,82,-0.7841,-1.8812
v36_regime_core_long_defensive_trend_100000_1asset_40d,100000.0,core_long,defensive,trend,1,40,True,False,True,False,0.0072,0.0253,0.0348,-0.071,0.3696,0.357,135704.2,0.68,0.0922,0.9078,0.0933,0.3554,24,785.9,0.0079,81,-0.7889,-1.8997
v36_regime_core_long_balanced_trend_50000_2asset_20d,50000.0,core_long,balanced,trend,2,20,True,False,True,False,-0.0006,0.025,0.0448,-0.0889,0.3661,0.3457,67286.67,1.14,0.1319,0.8681,0.133,0.6149,50,1479.23,0.0296,223,-2.537,-4.8762
v36_regime_expanded_recent_balanced_risk_adjusted_50000_1asset_20d,50000.0,expanded_recent,balanced,risk_adjusted,1,20,True,False,True,False,-0.002,0.0249,0.047,-0.0809,0.2793,0.3429,67145.45,0.53,0.0982,0.9018,0.1023,0.5,70,1014.35,0.0203,123,-0.2619,-1.1588
v36_regime_core_long_defensive_trend_200000_1asset_20d,200000.0,core_long,defensive,trend,1,20,True,False,True,False,-0.008,0.0247,0.0327,-0.0483,0.3619,0.3496,269928.35,0.67,0.088,0.912,0.0882,0.3554,51,1892.05,0.0095,141,-0.6023,-1.7899
v36_regime_expanded_recent_balanced_trend_50000_2asset_20d,50000.0,expanded_recent,balanced,trend,2,20,True,False,True,False,-0.0081,0.0246,0.049,-0.0879,0.3642,0.3363,66814.84,1.15,0.1354,0.8646,0.1376,0.6149,50,1554.06,0.0311,234,-2.5597,-4.3025
v36_regime_core_long_defensive_trend_50000_1asset_40d,50000.0,core_long,defensive,trend,1,40,True,False,True,False,-0.0144,0.0245,0.0344,-0.0713,0.3696,0.3448,67239.19,0.68,0.091,0.909,0.0933,0.3554,24,579.01,0.0116,81,-0.8158,-1.9562
v36_regime_core_long_defensive_trend_100000_1asset_20d,100000.0,core_long,defensive,trend,1,20,True,False,True,False,-0.0157,0.0245,0.0325,-0.048,0.3616,0.3456,134559.09,0.67,0.0875,0.9125,0.0882,0.3554,51,1184.01,0.0118,140,-0.611,-1.8032
v36_regime_expanded_recent_defensive_trend_200000_1asset_40d,200000.0,expanded_recent,defensive,trend,1,40,True,False,True,False,-0.0279,0.024,0.0354,-0.0718,0.3857,0.3361,267221.8,0.72,0.0916,0.9084,0.0903,0.3554,22,1362.3,0.0068,87,-0.8447,-1.5171
v36_regime_core_long_defensive_trend_50000_1asset_20d,50000.0,core_long,defensive,trend,1,20,True,False,True,False,-0.03,0.024,0.0322,-0.0474,0.3619,0.3381,66907.43,0.67,0.0866,0.9134,0.0882,0.3554,51,908.87,0.0182,136,-0.6308,-1.8567
v36_regime_expanded_recent_defensive_trend_200000_1asset_20d,200000.0,expanded_recent,defensive,trend,1,20,True,False,True,False,-0.0304,0.024,0.033,-0.0483,0.3693,0.3371,267427.28,0.69,0.0872,0.9128,0.0872,0.3554,48,1956.32,0.0098,146,-0.5619,-1.3998
v36_regime_expanded_recent_defensive_trend_100000_1asset_40d,100000.0,expanded_recent,defensive,trend,1,40,True,False,True,False,-0.0317,0.0239,0.0353,-0.071,0.3857,0.334,133396.5,0.72,0.0912,0.9088,0.0903,0.3554,22,802.9,0.008,85,-0.8505,-1.5249
v36_regime_expanded_recent_defensive_trend_100000_1asset_20d,100000.0,expanded_recent,defensive,trend,1,20,True,False,True,False,-0.0381,0.0237,0.0328,-0.048,0.369,0.3331,133311.8,0.69,0.0868,0.9132,0.0872,0.3554,48,1219.5,0.0122,144,-0.5688,-1.4071
v36_regime_expanded_recent_defensive_trend_50000_1asset_20d,50000.0,expanded_recent,defensive,trend,1,20,True,False,True,False,-0.0517,0.0233,0.0326,-0.0474,0.369,0.3261,66306.95,0.69,0.0859,0.9141,0.0872,0.3554,48,942.25,0.0188,141,-0.5849,-1.4385
v36_regime_core_long_balanced_trend_200000_1asset_40d,200000.0,core_long,balanced,trend,1,40,True,False,True,False,-0.055,0.0223,0.0492,-0.12,0.3267,0.2985,259697.73,0.6,0.0804,0.9196,0.081,0.4252,30,1326.47,0.0066,77,-2.05,-4.3142
v36_regime_core_long_balanced_risk_adjusted_100000_1asset_40d,100000.0,core_long,balanced,risk_adjusted,1,40,True,False,True,False,-0.0575,0.0224,0.0449,-0.12,0.2406,0.3036,130364.42,0.45,0.0586,0.9414,0.0583,0.4252,42,551.58,0.0055,58,-3.537,-9.2752
v36_regime_core_long_balanced_trend_100000_1asset_40d,100000.0,core_long,balanced,trend,1,40,True,False,True,False,-0.0588,0.0221,0.0488,-0.1194,0.3267,0.2961,129605.93,0.6,0.0799,0.9201,0.081,0.4252,30,790.07,0.0079,77,-2.0752,-4.3965
v36_regime_core_long_balanced_risk_adjusted_200000_1asset_40d,200000.0,core_long,balanced,risk_adjusted,1,40,True,False,True,False,-0.0633,0.0221,0.046,-0.1199,0.2406,0.2975,259506.61,0.45,0.0624,0.9376,0.0617,0.4252,42,971.49,0.0049,58,-3.2089,-8.9707
v36_regime_expanded_recent_balanced_trend_200000_1asset_40d,200000.0,expanded_recent,balanced,trend,1,40,True,False,True,False,-0.0637,0.0219,0.0491,-0.12,0.3165,0.2917,258347.84,0.59,0.0789,0.9211,0.0794,0.4252,31,1313.56,0.0066,76,-1.9081,-3.3662
v36_regime_expanded_recent_defensive_trend_50000_1asset_40d,50000.0,expanded_recent,defensive,trend,1,40,True,False,True,False,-0.0644,0.0228,0.0349,-0.0713,0.3857,0.3156,65782.25,0.72,0.0901,0.9099,0.0919,0.3554,21,606.25,0.0121,86,-0.8682,-1.5538
v36_regime_core_long_balanced_trend_50000_1asset_40d,50000.0,core_long,balanced,trend,1,40,True,False,True,False,-0.0653,0.0218,0.0486,-0.1183,0.3261,0.2913,64566.97,0.6,0.0793,0.9207,0.081,0.4252,30,549.33,0.011,76,-2.1353,-4.5114
v36_regime_core_long_balanced_risk_adjusted_50000_1asset_40d,50000.0,core_long,balanced,risk_adjusted,1,40,True,False,True,False,-0.0657,0.0221,0.0445,-0.1189,0.2399,0.2985,64922.73,0.45,0.0579,0.9421,0.0583,0.4252,42,404.37,0.0081,58,-3.6445,-9.6713
v36_regime_expanded_recent_balanced_trend_100000_1asset_40d,100000.0,expanded_recent,balanced,trend,1,40,True,False,True,False,-0.0673,0.0217,0.0489,-0.1194,0.3165,0.2893,128925.49,0.59,0.0785,0.9215,0.0794,0.4252,31,781.71,0.0078,76,-1.9172,-3.3905
v36_regime_expanded_recent_balanced_trend_50000_1asset_40d,50000.0,expanded_recent,balanced,trend,1,40,True,False,True,False,-0.0736,0.0214,0.0487,-0.1183,0.3158,0.2848,64237.7,0.59,0.0779,0.9221,0.0794,0.4252,31,542.7,0.0109,75,-1.9661,-3.4656
v36_regime_core_long_defensive_risk_adjusted_200000_1asset_20d,200000.0,core_long,defensive,risk_adjusted,1,20,True,False,True,False,-0.0929,0.0221,0.0315,-0.0552,0.2258,0.3065,261291.21,0.42,0.0668,0.9332,0.0677,0.3554,90,1564.29,0.0078,96,-1.8993,-8.1026
v36_regime_core_long_balanced_risk_adjusted_100000_2asset_20d,100000.0,core_long,balanced,risk_adjusted,2,20,True,False,True,False,-0.0955,0.0213,0.0391,-0.0949,0.2482,0.2892,128918.6,0.71,0.0718,0.9282,0.0737,0.4858,84,1276.2,0.0128,160,-2.3512,-4.9913
v36_regime_core_long_defensive_risk_adjusted_100000_1asset_20d,100000.0,core_long,defensive,risk_adjusted,1,20,True,False,True,False,-0.0983,0.0219,0.0314,-0.055,0.2258,0.3039,130393.57,0.42,0.0665,0.9335,0.0677,0.3554,90,918.83,0.0092,96,-1.9264,-8.1844
v36_regime_core_long_balanced_risk_adjusted_50000_2asset_20d,50000.0,core_long,balanced,risk_adjusted,2,20,True,False,True,False,-0.109,0.0208,0.0386,-0.0926,0.2486,0.2819,64095.79,0.71,0.0705,0.9295,0.0737,0.4858,84,1002.11,0.02,157,-2.4906,-5.1589
v36_regime_core_long_defensive_risk_adjusted_50000_1asset_20d,50000.0,core_long,defensive,risk_adjusted,1,20,True,False,True,False,-0.114,0.0214,0.0312,-0.0555,0.2255,0.2965,64823.38,0.42,0.0657,0.9343,0.0677,0.3554,90,666.42,0.0133,94,-1.977,-8.3375
v36_regime_expanded_recent_balanced_trend_200000_2asset_40d,200000.0,expanded_recent,balanced,trend,2,40,True,False,True,False,-0.1225,0.0201,0.04,-0.1192,0.3232,0.2701,254021.91,1.06,0.084,0.916,0.0833,0.415,31,1249.79,0.0062,128,-2.5385,-4.588
v36_regime_core_long_balanced_trend_200000_2asset_40d,200000.0,core_long,balanced,trend,2,40,True,False,True,False,-0.1274,0.0192,0.0459,-0.1192,0.3258,0.2514,250273.38,1.04,0.0924,0.9076,0.0914,0.4858,31,1325.22,0.0066,124,-2.6477,-4.2782
v36_regime_expanded_recent_balanced_trend_100000_2asset_40d,100000.0,expanded_recent,balanced,trend,2,40,True,False,True,False,-0.1324,0.0197,0.0398,-0.1188,0.3232,0.2645,126445.65,1.06,0.0833,0.9167,0.0833,0.415,31,891.75,0.0089,126,-2.5865,-4.6518
v36_regime_core_long_balanced_trend_100000_2asset_40d,100000.0,core_long,balanced,trend,2,40,True,False,True,False,-0.135,0.0188,0.0456,-0.1188,0.3254,0.2467,124671.38,1.04,0.0917,0.9083,0.0914,0.4858,31,908.02,0.0091,122,-2.7176,-4.3716
v36_regime_core_long_balanced_trend_50000_2asset_40d,50000.0,core_long,balanced,trend,2,40,True,False,True,False,-0.1376,0.0189,0.0443,-0.1166,0.3245,0.2487,62433.66,1.04,0.0874,0.9126,0.0886,0.4858,31,728.94,0.0146,119,-2.874,-4.5741
v36_regime_expanded_recent_balanced_trend_50000_2asset_40d,50000.0,expanded_recent,balanced,trend,2,40,True,False,True,False,-0.1444,0.0193,0.0393,-0.1166,0.3222,0.2585,62924.52,1.06,0.0819,0.9181,0.0833,0.415,31,741.78,0.0148,123,-2.7181,-4.8637
v36_regime_core_long_balanced_risk_adjusted_200000_2asset_40d,200000.0,core_long,balanced,risk_adjusted,2,40,True,False,True,False,-0.1529,0.0186,0.0418,-0.1195,0.2514,0.2456,249120.18,0.68,0.0619,0.9381,0.0625,0.4858,42,959.42,0.0048,87,-3.8316,-8.8247
v36_regime_core_long_balanced_risk_adjusted_100000_2asset_40d,100000.0,core_long,balanced,risk_adjusted,2,40,True,False,True,False,-0.1575,0.0184,0.0417,-0.1189,0.2511,0.2429,124291.16,0.68,0.0616,0.9384,0.0625,0.4858,42,648.34,0.0065,85,-3.8973,-8.8912
v36_regime_core_long_defensive_trend_200000_2asset_40d,200000.0,core_long,defensive,trend,2,40,True,False,True,False,-0.1584,0.0199,0.0323,-0.0709,0.377,0.271,254209.99,1.09,0.0992,0.9008,0.0994,0.3607,24,1326.71,0.0066,121,-1.1197,-1.8993
v36_regime_core_long_balanced_risk_adjusted_50000_2asset_40d,50000.0,core_long,balanced,risk_adjusted,2,40,True,False,True,False,-0.1681,0.0181,0.0413,-0.1154,0.2505,0.2376,61879.45,0.68,0.0607,0.9393,0.0625,0.4858,42,530.75,0.0106,85,-4.0429,-8.9702
v36_regime_core_long_defensive_risk_adjusted_200000_1asset_40d,200000.0,core_long,defensive,risk_adjusted,1,40,True,False,True,False,-0.1693,0.0193,0.0335,-0.0715,0.2226,0.2617,252340.34,0.41,0.0684,0.9316,0.0675,0.3554,46,1021.76,0.0051,54,-2.2422,-8.2195
v36_regime_expanded_recent_balanced_risk_adjusted_100000_2asset_40d,100000.0,expanded_recent,balanced,risk_adjusted,2,40,True,False,True,False,-0.1697,0.0181,0.0409,-0.1189,0.253,0.2379,123787.94,0.71,0.0596,0.9404,0.0633,0.4858,39,673.36,0.0067,91,-3.9325,-10.1504
v36_regime_expanded_recent_balanced_risk_adjusted_200000_1asset_40d,200000.0,expanded_recent,balanced,risk_adjusted,1,40,True,False,True,False,-0.1704,0.0174,0.0444,-0.1199,0.2591,0.2261,245213.33,0.49,0.0573,0.9427,0.057,0.4252,39,969.67,0.0048,65,-2.8833,-7.8473
v36_regime_core_long_defensive_trend_100000_2asset_40d,100000.0,core_long,defensive,trend,2,40,True,False,True,False,-0.1718,0.0195,0.0321,-0.0703,0.377,0.265,126503.75,1.09,0.0986,0.9014,0.0994,0.3607,24,923.15,0.0092,122,-1.134,-1.9364
v36_regime_expanded_recent_balanced_risk_adjusted_50000_1asset_40d,50000.0,expanded_recent,balanced,risk_adjusted,1,40,True,False,True,False,-0.1726,0.0176,0.0431,-0.1189,0.2444,0.2287,61435.68,0.46,0.0515,0.9485,0.0536,0.4252,39,412.12,0.0082,61,-3.1715,-7.9633
v36_regime_expanded_recent_balanced_risk_adjusted_100000_1asset_40d,100000.0,expanded_recent,balanced,risk_adjusted,1,40,True,False,True,False,-0.1749,0.0173,0.0443,-0.12,0.245,0.2235,122346.11,0.46,0.0545,0.9455,0.0559,0.4252,39,566.59,0.0057,61,-3.1478,-7.8982
v36_regime_expanded_recent_balanced_risk_adjusted_200000_2asset_40d,200000.0,expanded_recent,balanced,risk_adjusted,2,40,True,False,True,False,-0.1807,0.0174,0.0421,-0.1195,0.2543,0.2269,245382.91,0.72,0.0631,0.9369,0.0657,0.4858,39,1019.39,0.0051,95,-3.9076,-10.1572
