code,exists,load_error,first_date,last_date,calendar_years,rows_total,rows_in_window,duplicate_dates,missing_columns,close_nan_ratio,volume_nan_ratio,amount_nan_ratio,invalid_close_count,spans_requested_window,strict_20y_quality_ok,path
301155,True,,2021-11-24,2026-05-29,4.51,1092,1092,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/301155.parquet
688235,True,,2021-12-15,2026-05-29,4.45,1077,1077,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688235.parquet
603699,True,,2014-01-17,2026-05-29,12.36,2993,2993,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603699.parquet
600583,True,,2002-02-05,2026-05-29,24.31,5839,4916,0,,0.0,0.0,0.0,0,True,True,/Users/jacklondon/Documents/study/lianghua/data/parquet/600583.parquet
002245,True,,2008-06-05,2026-05-29,17.98,4315,4315,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002245.parquet
603305,True,,2017-07-10,2026-05-29,8.88,2150,2150,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603305.parquet
002841,True,,2017-01-19,2026-05-29,9.36,2269,2269,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/002841.parquet
603505,True,,2017-05-03,2026-05-29,9.07,2203,2203,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/603505.parquet
300910,True,,2020-11-27,2026-05-29,5.5,1332,1332,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/300910.parquet
688575,True,,2021-05-17,2026-05-29,5.03,1221,1221,0,,0.0,0.0,0.0,0,False,False,/Users/jacklondon/Documents/study/lianghua/data/parquet/688575.parquet
