factor,category,horizon,n_dates,avg_coverage,rank_ic_mean,rank_ic_t,rank_ic_positive_rate,train_ic_mean,test_ic_mean,recommended_direction,oriented_ls_mean,oriented_ls_t,qualified_for_research
analyst_revision_score_sum,analyst_revision,1,123,138.7,-0.00285,-0.2878,0.4553,0.003035,-0.01653,-1,-0.000226,-0.1974,False
analyst_upgrade_minus_downgrade,analyst_revision,1,123,138.7,-0.00285,-0.2878,0.4553,0.003035,-0.01653,-1,-0.000226,-0.1974,False
analyst_revision_score_sum,analyst_revision,10,122,139.5,-0.002831,-0.288,0.4672,-0.002005,-0.004802,-1,-0.003663,-1.0407,False
analyst_upgrade_minus_downgrade,analyst_revision,10,122,139.5,-0.002831,-0.288,0.4672,-0.002005,-0.004802,-1,-0.003663,-1.0407,False
analyst_revision_sum_60d,analyst_revision_rolling,5,573,1186.8,0.002722,1.7167,0.5253,0.001899,0.004092,1,0.001917,2.1958,False
analyst_upgrade_minus_downgrade_60d,analyst_revision_rolling,5,573,1186.8,0.002722,1.7167,0.5253,0.001899,0.004092,1,0.001917,2.1958,False
analyst_revision_sum_20d,analyst_revision_rolling,5,571,1186.8,0.001607,1.2059,0.5394,0.001089,0.002479,1,0.00217,2.4102,False
analyst_upgrade_minus_downgrade_20d,analyst_revision_rolling,5,571,1186.8,0.001607,1.2059,0.5394,0.001089,0.002479,1,0.00217,2.4102,False
analyst_revision_score_sum,analyst_revision,20,115,139.0,0.001378,0.131,0.5565,-0.000339,0.006242,1,0.014165,2.7764,False
analyst_upgrade_minus_downgrade,analyst_revision,20,115,139.0,0.001378,0.131,0.5565,-0.000339,0.006242,1,0.014165,2.7764,False
analyst_revision_sum_20d,analyst_revision_rolling,1,575,1187.3,0.001251,0.9109,0.5183,0.000971,0.001714,1,0.000412,1.0623,False
analyst_upgrade_minus_downgrade_20d,analyst_revision_rolling,1,575,1187.3,0.001251,0.9109,0.5183,0.000971,0.001714,1,0.000412,1.0623,False
analyst_rating_score_mean,analyst_revision,5,364,88.5,-0.000967,-0.1344,0.5247,0.000791,-0.004587,-1,0.000643,0.4445,False
analyst_revision_sum_60d,analyst_revision_rolling,1,577,1187.3,0.000814,0.5211,0.5026,0.000589,0.001182,1,0.000348,0.9557,False
analyst_upgrade_minus_downgrade_60d,analyst_revision_rolling,1,577,1187.3,0.000814,0.5211,0.5026,0.000589,0.001182,1,0.000348,0.9557,False
analyst_report_count_6m,analyst_consensus,1,0,0.0,,,,,,1,,,False
analyst_report_count_6m,analyst_consensus,5,0,0.0,,,,,,1,,,False
analyst_report_count_6m,analyst_consensus,10,0,0.0,,,,,,1,,,False
analyst_report_count_6m,analyst_consensus,20,0,0.0,,,,,,1,,,False
analyst_positive_rating_ratio,analyst_consensus,1,0,0.0,,,,,,1,,,False
analyst_positive_rating_ratio,analyst_consensus,5,0,0.0,,,,,,1,,,False
analyst_positive_rating_ratio,analyst_consensus,10,0,0.0,,,,,,1,,,False
analyst_positive_rating_ratio,analyst_consensus,20,0,0.0,,,,,,1,,,False
analyst_negative_rating_ratio,analyst_consensus,1,0,0.0,,,,,,1,,,False
analyst_negative_rating_ratio,analyst_consensus,5,0,0.0,,,,,,1,,,False
analyst_negative_rating_ratio,analyst_consensus,10,0,0.0,,,,,,1,,,False
analyst_negative_rating_ratio,analyst_consensus,20,0,0.0,,,,,,1,,,False
analyst_eps_growth_26_vs_25,analyst_consensus,1,0,0.0,,,,,,1,,,False
