name,capital,alpha_cap,stock_profile,stock_positions,stock_rebalance_freq,simultaneous_improvement_gate_passes,stock_execution_gate_passes,small_account_minimum_gate_passes,sharpe_ratio,annual_return,max_drawdown,win_rate,avg_oos_sharpe,min_oos_sharpe,annual_return_delta,sharpe_delta,max_drawdown_delta,avg_oos_sharpe_delta,min_oos_sharpe_delta,avg_alpha_allocation,active_alpha_ratio,stock_subaccount_capital,stock_avg_holdings,stock_orders,stock_total_fees
v37_100000_alpha20_small_balanced_2pos_40d,100000.0,0.2,small_balanced,2,40,True,True,False,0.5413,0.0686,-0.1407,0.3334,0.3665,-0.9192,0.0079,0.0814,-0.0056,0.012,0.007,0.0292,0.2668,20000.0,1.76,250,2497.7
v37_50000_alpha20_small_balanced_2pos_40d,50000.0,0.2,small_balanced,2,40,True,True,False,0.5381,0.0678,-0.1317,0.3301,0.3586,-0.935,0.0073,0.078,-0.003,0.0059,0.0008,0.0285,0.2734,10000.0,1.57,219,1716.38
v37_200000_alpha15_small_balanced_2pos_40d,200000.0,0.15,small_balanced,2,40,True,True,False,0.5247,0.0669,-0.1399,0.3374,0.3615,-0.9266,0.0061,0.0638,-0.0048,0.0065,0.0002,0.0225,0.2934,30000.0,1.77,249,3258.39
v37_200000_alpha20_small_balanced_2pos_40d,200000.0,0.2,small_balanced,2,40,False,True,False,0.543,0.0688,-0.1405,0.3354,0.3567,-0.9282,0.008,0.0821,-0.0054,0.0017,-0.0014,0.0295,0.2668,40000.0,1.81,256,4062.18
v37_100000_alpha15_small_balanced_2pos_40d,100000.0,0.15,small_balanced,2,40,False,True,False,0.5194,0.0664,-0.1393,0.3311,0.3594,-0.9266,0.0057,0.0595,-0.0042,0.0049,-0.0004,0.0219,0.2734,15000.0,1.67,234,2057.29
v37_50000_alpha15_small_balanced_2pos_40d,50000.0,0.15,small_balanced,2,40,False,True,False,0.5159,0.0656,-0.1287,0.3178,0.3521,-0.9342,0.0051,0.0558,0.0,-0.0006,0.0016,0.0172,0.2267,7500.0,1.43,197,1413.76
