name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,target_vol,daily_var_limit,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v35_risk_budget_conservative_var_risk_adjusted_100000_1asset_40d_vol0.04_var0.008,100000.0,conservative_var,risk_adjusted,1,40,0.04,0.008,True,False,True,-1.2016,0.0091,0.0133,-0.0244,0.2713,0.1176,111758.39,0.5,0.0416,0.9584,0.0423,0.2005,38,438.21,0.0044,61,-3.2467,-10.494
v35_risk_budget_conservative_var_risk_adjusted_100000_1asset_40d_vol0.04_var0.012,100000.0,conservative_var,risk_adjusted,1,40,0.04,0.012,True,False,True,-1.2016,0.0091,0.0133,-0.0244,0.2713,0.1176,111758.39,0.5,0.0416,0.9584,0.0423,0.2005,38,438.21,0.0044,61,-3.2467,-10.494
v35_risk_budget_conservative_var_risk_adjusted_100000_1asset_40d_vol0.04_var0.016,100000.0,conservative_var,risk_adjusted,1,40,0.04,0.016,True,False,True,-1.2016,0.0091,0.0133,-0.0244,0.2713,0.1176,111758.39,0.5,0.0416,0.9584,0.0423,0.2005,38,438.21,0.0044,61,-3.2467,-10.494
v35_risk_budget_conservative_var_momentum_50000_2asset_40d_vol0.04_var0.008,50000.0,conservative_var,momentum,2,40,0.04,0.008,True,False,True,-1.2282,0.0085,0.0134,-0.0311,0.4222,0.1097,55484.11,1.31,0.0663,0.9337,0.0694,0.2269,16,762.99,0.0153,136,-1.9866,-3.2254
v35_risk_budget_conservative_var_momentum_50000_2asset_40d_vol0.04_var0.012,50000.0,conservative_var,momentum,2,40,0.04,0.012,True,False,True,-1.2282,0.0085,0.0134,-0.0311,0.4222,0.1097,55484.11,1.31,0.0663,0.9337,0.0694,0.2269,16,762.99,0.0153,136,-1.9866,-3.2254
v35_risk_budget_conservative_var_momentum_50000_2asset_40d_vol0.04_var0.016,50000.0,conservative_var,momentum,2,40,0.04,0.016,True,False,True,-1.2282,0.0085,0.0134,-0.0311,0.4222,0.1097,55484.11,1.31,0.0663,0.9337,0.0694,0.2269,16,762.99,0.0153,136,-1.9866,-3.2254
v35_risk_budget_ultra_var_momentum_50000_2asset_20d_vol0.06_var0.008,50000.0,ultra_var,momentum,2,20,0.06,0.008,True,False,True,-1.2295,0.0084,0.0135,-0.0359,0.3866,0.1089,55446.27,1.19,0.0573,0.9427,0.0601,0.1723,44,1118.33,0.0224,200,-1.7186,-2.757
v35_risk_budget_ultra_var_momentum_50000_2asset_20d_vol0.06_var0.012,50000.0,ultra_var,momentum,2,20,0.06,0.012,True,False,True,-1.2295,0.0084,0.0135,-0.0359,0.3866,0.1089,55446.27,1.19,0.0573,0.9427,0.0601,0.1723,44,1118.33,0.0224,200,-1.7186,-2.757
v35_risk_budget_ultra_var_momentum_50000_2asset_20d_vol0.06_var0.016,50000.0,ultra_var,momentum,2,20,0.06,0.016,True,False,True,-1.2295,0.0084,0.0135,-0.0359,0.3866,0.1089,55446.27,1.19,0.0573,0.9427,0.0601,0.1723,44,1118.33,0.0224,200,-1.7186,-2.757
v35_risk_budget_ultra_var_risk_adjusted_200000_2asset_40d_vol0.06_var0.008,200000.0,ultra_var,risk_adjusted,2,40,0.06,0.008,True,False,True,-1.2439,0.0085,0.0133,-0.0238,0.2492,0.1097,221946.68,0.71,0.0388,0.9612,0.0393,0.2149,42,714.32,0.0036,89,-4.0618,-12.6981
v35_risk_budget_ultra_var_risk_adjusted_200000_2asset_40d_vol0.06_var0.012,200000.0,ultra_var,risk_adjusted,2,40,0.06,0.012,True,False,True,-1.2439,0.0085,0.0133,-0.0238,0.2492,0.1097,221946.68,0.71,0.0388,0.9612,0.0393,0.2149,42,714.32,0.0036,89,-4.0618,-12.6981
v35_risk_budget_ultra_var_risk_adjusted_200000_2asset_40d_vol0.06_var0.016,200000.0,ultra_var,risk_adjusted,2,40,0.06,0.016,True,False,True,-1.2439,0.0085,0.0133,-0.0238,0.2492,0.1097,221946.68,0.71,0.0388,0.9612,0.0393,0.2149,42,714.32,0.0036,89,-4.0618,-12.6981
v35_risk_budget_conservative_var_risk_adjusted_50000_1asset_40d_vol0.04_var0.008,50000.0,conservative_var,risk_adjusted,1,40,0.04,0.008,True,False,True,-1.2552,0.0087,0.013,-0.0246,0.271,0.1127,55633.38,0.5,0.0408,0.9592,0.0423,0.2005,38,370.52,0.0074,61,-3.299,-10.4744
v35_risk_budget_conservative_var_risk_adjusted_50000_1asset_40d_vol0.04_var0.012,50000.0,conservative_var,risk_adjusted,1,40,0.04,0.012,True,False,True,-1.2552,0.0087,0.013,-0.0246,0.271,0.1127,55633.38,0.5,0.0408,0.9592,0.0423,0.2005,38,370.52,0.0074,61,-3.299,-10.4744
v35_risk_budget_conservative_var_risk_adjusted_50000_1asset_40d_vol0.04_var0.016,50000.0,conservative_var,risk_adjusted,1,40,0.04,0.016,True,False,True,-1.2552,0.0087,0.013,-0.0246,0.271,0.1127,55633.38,0.5,0.0408,0.9592,0.0423,0.2005,38,370.52,0.0074,61,-3.299,-10.4744
v35_risk_budget_ultra_var_risk_adjusted_100000_2asset_40d_vol0.06_var0.008,100000.0,ultra_var,risk_adjusted,2,40,0.06,0.008,True,False,True,-1.273,0.0083,0.0132,-0.0238,0.2492,0.1065,110645.33,0.71,0.0384,0.9616,0.0393,0.2149,42,561.87,0.0056,88,-4.1218,-12.8117
v35_risk_budget_ultra_var_risk_adjusted_100000_2asset_40d_vol0.06_var0.012,100000.0,ultra_var,risk_adjusted,2,40,0.06,0.012,True,False,True,-1.273,0.0083,0.0132,-0.0238,0.2492,0.1065,110645.33,0.71,0.0384,0.9616,0.0393,0.2149,42,561.87,0.0056,88,-4.1218,-12.8117
v35_risk_budget_ultra_var_risk_adjusted_100000_2asset_40d_vol0.06_var0.016,100000.0,ultra_var,risk_adjusted,2,40,0.06,0.016,True,False,True,-1.273,0.0083,0.0132,-0.0238,0.2492,0.1065,110645.33,0.71,0.0384,0.9616,0.0393,0.2149,42,561.87,0.0056,88,-4.1218,-12.8117
v35_risk_budget_conservative_var_risk_adjusted_200000_1asset_20d_vol0.04_var0.008,200000.0,conservative_var,risk_adjusted,1,20,0.04,0.008,True,False,True,-1.2742,0.0086,0.0129,-0.0189,0.2684,0.1115,222293.2,0.5,0.0411,0.9589,0.0416,0.2005,77,930.9,0.0047,105,-2.0224,-4.819
v35_risk_budget_conservative_var_risk_adjusted_200000_1asset_20d_vol0.04_var0.012,200000.0,conservative_var,risk_adjusted,1,20,0.04,0.012,True,False,True,-1.2742,0.0086,0.0129,-0.0189,0.2684,0.1115,222293.2,0.5,0.0411,0.9589,0.0416,0.2005,77,930.9,0.0047,105,-2.0224,-4.819
v35_risk_budget_conservative_var_risk_adjusted_200000_1asset_20d_vol0.04_var0.016,200000.0,conservative_var,risk_adjusted,1,20,0.04,0.016,True,False,True,-1.2742,0.0086,0.0129,-0.0189,0.2684,0.1115,222293.2,0.5,0.0411,0.9589,0.0416,0.2005,77,930.9,0.0047,105,-2.0224,-4.819
v35_risk_budget_conservative_var_risk_adjusted_200000_2asset_40d_vol0.04_var0.008,200000.0,conservative_var,risk_adjusted,2,40,0.04,0.008,True,False,True,-1.2843,0.0081,0.0132,-0.0232,0.2915,0.104,220801.52,0.82,0.0442,0.9558,0.0442,0.2005,36,821.48,0.0041,100,-4.1105,-13.5913
v35_risk_budget_conservative_var_risk_adjusted_200000_2asset_40d_vol0.04_var0.012,200000.0,conservative_var,risk_adjusted,2,40,0.04,0.012,True,False,True,-1.2843,0.0081,0.0132,-0.0232,0.2915,0.104,220801.52,0.82,0.0442,0.9558,0.0442,0.2005,36,821.48,0.0041,100,-4.1105,-13.5913
